frame,value
0,0.1005339
0,0.2364635
0,0.09924956
0.00094,0.1744824
0.00094,0.2356507
0.00094,0.1087293
0.002047,0.3439094
0.002047,0.07080813
0.003078,0.226116
0.003078,0.1055074
0.003078,0.08129475
0.004002,0.1451919
0.004002,0.1701569
0.004002,0.06680162
0.004874,0.1468099
0.004874,0.2123406
0.004874,0.08241368
0.005858,0.1572128
0.005858,0.2301675
0.005858,0.02956607
0.006911,0.1332617
0.006911,0.1104722
0.006911,0.1316434
0.006911,0.03574603
0.007903,0.1751696
0.007903,0.06719205
0.007903,0.1072097
0.007903,0.03884938
0.008842,0.1566049
0.008842,0.06860606
0.008842,0.1107152
0.008842,0.03675419
0.009746,0.1492338
0.009746,0.06336119
0.009746,0.2363534
0.009746,0.02841145
0.010921,0.132125
0.010921,0.07927302
0.010921,0.07953703
0.010921,0.0401017
0.011714,0.1604405
0.011714,0.05417535
0.011714,0.3008098
0.011714,0.02285328
0.013049,0.05643552
0.013049,0.1824819
0.013049,0.03765608
0.013049,0.07664771
0.013822,0.1179161
0.013822,0.06677787
0.013822,0.08935691
0.013822,0.03223014
0.014573,0.09862716
0.014573,0.06005967
0.014573,0.0732438
0.014573,0.07820965
0.014573,0.07474409
0.015401,0.07190771
0.015401,0.119834
0.015401,0.03889366
0.015401,0.06427962
0.015401,0.04535831
0.016197,0.1364578
0.016197,0.02171381
0.016197,0.09567919
0.016197,0.1091259
0.016197,0.03582552
0.017156,0.08690406
0.017156,0.02143617
0.017156,0.08521095
0.017156,0.05903379
0.017156,0.06466071
0.017156,0.01694791
0.017997,0.1055656
0.017997,0.03519336
0.017997,0.06593262
0.017997,0.02145111
0.017997,0.07930432
0.017997,0.02951065
0.018819,0.0587053
0.018819,0.03418195
0.018819,0.07023899
0.018819,0.04910601
0.018819,0.0728955
0.018819,0.03189379
0.019583,0.04760119
0.019583,0.04906178
0.019583,0.07007482
0.019583,0.03432943
0.019583,0.0829585
0.019583,0.03697702
0.020346,0.08500467
0.020346,0.05602998
0.020346,0.08221514
0.020346,0.06458007
0.020346,0.07643551
0.021121,0.05355151
