frame,value
0,0.0978781
0,0.1368276
0,0.08462327
0,0.1389108
0.001149,0.1562503
0.001149,0.2197673
0.001149,0.07075054
0.002516,0.1951833
0.002516,0.1256862
0.002516,0.06944477
0.003701,0.1114102
0.003701,0.1175812
0.003701,0.07311734
0.003701,0.05861495
0.004794,0.08095213
0.004794,0.1003906
0.004794,0.1633737
0.004794,0.05405924
0.006027,0.07124048
0.006027,0.1401274
0.006027,0.03351016
0.006027,0.08801606
0.006027,0.04733572
0.007211,0.03997686
0.007211,0.1019768
0.007211,0.1270924
0.007211,0.1145144
0.007211,0.1113136
0.007211,0.04308242
0.008229,0.04733709
0.008229,0.1450378
0.008229,0.02657397
0.008229,0.1513274
0.008229,0.04239999
0.009538,0.08519955
0.009538,0.1233615
0.009538,0.06117813
0.009538,0.1497115
0.009538,0.03830121
0.009538,0.04302626
0.010642,0.04172761
0.010642,0.1131681
0.010642,0.03654407
0.010642,0.1002771
0.010642,0.03458216
0.010642,0.03964749
0.011644,0.0474068
0.011644,0.07831188
0.011644,0.04560844
0.011644,0.1117903
0.011644,0.135964
0.011644,0.1441914
0.011644,0.03259014
0.01291,0.05851624
0.01291,0.03707262
0.01291,0.08557376
0.01291,0.02686081
0.01291,0.09677307
0.01291,0.01719715
0.013921,0.09380196
0.013921,0.03424586
0.013921,0.1417728
0.013921,0.02430796
0.013921,0.1196287
0.013921,0.01397279
0.014984,0.1416192
0.014984,0.02439557
0.014984,0.07817749
0.014984,0.06608333
0.014984,0.09375571
0.014984,0.01593708
0.016184,0.07961152
0.016184,0.03514193
0.016184,0.08853834
0.016184,0.09601943
0.016184,0.1249458
0.016184,0.01828827
0.016184,0.05344834
0.01723,0.02309131
0.01723,0.1046944
0.01723,0.01773925
0.01723,0.1145642
0.01723,0.01718623
0.01723,0.08042531
0.01723,0.03714507
0.018266,0.07927506
0.018266,0.01844101
0.018266,0.0751553
0.018266,0.01758417
0.018266,0.0945269
0.018266,0.01588244
0.019292,0.1184054
0.019292,0.02645575
0.019292,0.1331626
0.019292,0.01807521
0.019292,0.123103
0.019292,0.01765495
0.019292,0.1489368
0.019292,0.0145387
0.020641,0.1573133
0.020641,0.01831672
0.020641,0.09083235
0.020641,0.02008187
0.020641,0.05450173
0.021693,0.02450608
0.021693,0.0807343
0.021693,0.02091843
0.021693,0.1316741
0.021693,0.03992457
0.021693,0.1213908
0.021693,0.01683426
0.022848,0.1131017
0.022848,0.01841985
0.022848,0.0992708
