frame,value
0,1
0,1
0,1
0.000579,1
0.000579,1
0.001331,1
0.001331,1
0.0024,1
0.0024,1
0.003441,1
0.003441,1
0.004791,1
0.004791,1
0.005809,1
0.005809,1
0.006415,1
0.006415,1
0.00736,1
0.00736,1
0.008245,1
0.008245,1
0.00877,1
0.00877,1
0.009342,1
0.009342,1
0.009948,1
0.009948,1
0.010511,1
0.010511,1
0.0112,1
0.0112,1
0.011887,1
0.011887,1
0.011887,1
0.012495,1
0.012495,1
0.012495,1
0.013463,1
0.013463,1
0.013463,1
0.014022,1
0.014022,1
0.014022,1
0.014939,1
0.014939,1
0.014939,1
0.015611,1
0.015611,1
0.015611,1
0.016651,1
0.016651,1
0.016651,1
0.017327,1
0.017327,1
0.017829,1
0.017829,1
0.018701,1
0.018701,1
0.019217,1
0.019217,1
0.019782,1
0.019782,1
0.019782,1
0.020306,1
0.020306,1
0.020306,1
0.021156,1
0.021156,1
0.021156,1
0.021685,1
0.021685,1
0.021685,1
0.022496,1
0.022496,1
0.022496,1
0.023074,1
0.023074,1
0.023074,1
0.023647,1
0.023647,1
0.023647,1
0.024165,1
0.024165,1
0.024165,1
0.024744,1
0.024744,1
0.024744,1
0.02551,1
0.02551,1
0.02551,1
0.026049,1
0.026049,1
0.026049,1
0.026604,1
0.026604,1
0.027237,1
0.027237,1
0.027862,1
0.027862,1
0.027862,1
0.028377,1
0.028377,1
0.028377,1
0.028377,1
0.028377,1
0.029223,1
0.029223,1
0.030022,1
0.030022,1
0.030568,1
0.030568,1
0.030568,1
0.030568,1
0.031309,1
0.031309,1
0.031834,1
0.031834,1
0.032519,1
0.032519,1
0.033142,1
0.033142,1
0.033142,1
0.033667,1
0.033667,1
0.033667,1
0.034388,1
0.034388,1
0.035122,1
0.035122,1
0.035122,1
0.035122,1
0.035122,1
0.035765,1
0.035765,1
0.035765,1
0.035765,1
0.036282,1
0.036282,1
0.036282,1
0.037084,1
0.037084,1
0.037084,1
0.037084,1
0.037084,1
0.037084,1
0.037786,1
0.037786,1
0.037786,1
0.037786,1
0.037786,1
0.037786,1
0.038318,1
0.038318,1
0.038318,1
0.038318,1
0.038318,1
0.038318,1
0.038881,1
0.038881,1
0.038881,1
0.039594,1
0.039594,1
0.039594,1
0.040198,1
0.040198,1
0.040198,1
0.040711,1
0.040711,1
0.040711,1
0.041323,1
0.041323,1
0.041323,1
0.041323,1
0.042523,1
0.042523,1
0.042523,1
0.042523,1
0.043086,1
0.043086,1
0.043086,1
0.043701,1
0.043701,1
0.043701,1
0.044249,1
0.044249,1
0.044249,1
0.045033,1
0.045033,1
0.045033,1
0.045582,1
0.045582,1
0.045582,1
0.045582,1
0.046085,1
0.046085,1
0.046085,1
0.046727,1
0.046727,1
0.046727,1
0.046727,1
0.047343,1
0.047343,1
0.047887,1
0.047887,1
0.047887,1
0.047887,1
0.048453,1
0.048453,1
0.048453,1
0.049013,1
0.049013,1
0.049013,1
0.049013,1
0.049561,1
0.049561,1
0.049561,1
0.050227,1
0.050227,1
0.050227,1
0.050227,1
0.050852,1
0.050852,1
0.050852,1
0.050852,1
0.051472,1
0.051472,1
0.051472,1
0.052013,1
0.052013,1
0.052013,1
0.052013,1
0.052013,1
0.052842,1
0.052842,1
0.052842,1
0.052842,1
0.053344,1
0.053344,1
0.053344,1
0.053344,1
0.053877,1
0.053877,1
0.053877,1
0.053877,1
0.054472,1
0.054472,1
0.054472,1
0.054472,1
0.055217,1
0.055217,1
0.055217,1
0.055217,1
0.055746,1
0.055746,1
0.055746,1
0.055746,1
0.055746,1
0.056527,1
0.056527,1
0.056527,1
0.056527,1
0.057226,1
0.057226,1
0.057226,1
0.057226,1
0.057791,1
0.057791,1
0.057791,1
0.057791,1
0.058378,1
0.058378,1
0.058378,1
0.058895,1
0.058895,1
0.058895,1
0.059449,1
0.059449,1
0.059449,1
0.059449,1
0.059449,1
0.059974,1
0.059974,1
0.059974,1
0.059974,1
0.059974,1
0.060601,1
0.060601,1
0.060601,1
0.060601,1
0.06149,1
0.06149,1
0.06149,1
0.06149,1
0.062179,1
0.062179,1
0.062695,1
0.062695,1
0.062695,1
0.062695,1
0.063297,1
0.063297,1
0.063297,1
0.063297,1
0.06391,1
0.06391,1
0.06391,1
0.06391,1
0.06391,1
0.064425,1
0.064425,1
0.064425,1
0.064425,1
0.064425,1
0.064425,1
0.064978,1
0.064978,1
0.064978,1
0.064978,1
0.064978,1
0.065751,1
0.065751,1
0.065751,1
0.066318,1
0.066318,1
0.066822,1
0.066822,1
0.066822,1
0.066822,1
0.067427,1
0.067427,1
0.067427,1
0.067427,1
0.067427,1
0.068063,1
0.068063,1
0.068063,1
0.068063,1
0.068769,1
0.068769,1
0.068769,1
0.068769,1
0.068769,1
0.069418,1
0.069418,1
0.069418,1
0.069418,1
0.069418,1
0.069938,1
0.069938,1
0.069938,1
0.069938,1
0.069938,1
0.069938,1
0.07049,1
0.07049,1
0.07049,1
0.07049,1
0.07049,1
0.071219,1
0.071219,1
0.071219,1
0.071749,1
0.071749,1
0.071749,1
0.071749,1
0.071749,1
0.072258,1
0.072258,1
0.072258,1
0.072258,1
0.072782,1
0.072782,1
0.072782,1
0.072782,1
0.072782,1
0.073317,1
0.073317,1
0.073837,1
0.073837,1
0.073837,1
0.073837,1
0.073837,1
0.074365,1
0.074365,1
0.074365,1
0.074912,1
0.074912,1
0.074912,1
0.074912,1
0.074912,1
0.075709,1
0.075709,1
0.075709,1
0.076303,1
0.076303,1
0.076303,1
0.076303,1
0.076303,1
0.076303,1
0.077093,1
0.077093,1
0.077093,1
0.077093,1
0.077624,1
0.077624,1
0.077624,1
0.077624,1
0.077624,1
0.07819,1
0.07819,1
0.07819,1
0.07819,1
0.07819,1
0.07819,1
0.079276,1
0.079276,1
0.079276,1
0.079276,1
0.079276,1
0.079276,1
0.079922,1
0.079922,1
0.079922,1
0.079922,1
0.079922,1
0.079922,1
0.079922,1
0.080493,1
0.080493,1
0.080493,1
0.080493,1
0.080493,1
0.080493,1
0.081145,1
0.081145,1
0.081145,1
0.081145,1
0.081145,1
0.081672,1
0.081672,1
0.081672,1
0.081672,1
0.081672,1
0.081672,1
0.081672,1
0.082706,1
0.082706,1
0.082706,1
0.082706,1
0.082706,1
0.082706,1
0.083211,1
0.083211,1
0.083211,1
0.083211,1
0.083211,1
0.083211,1
0.083211,1
0.083755,1
0.083755,1
0.083755,1
0.083755,1
0.083755,1
0.083755,1
0.083755,1
0.083755,1
0.084306,1
0.084306,1
0.084306,1
0.084306,1
0.084907,1
0.084907,1
0.084907,1
0.084907,1
0.084907,1
0.084907,1
0.084907,1
0.085997,1
0.085997,1
0.085997,1
0.086633,1
0.086633,1
0.086633,1
0.086633,1
0.086633,1
0.086633,1
0.086633,1
0.087139,1
0.087139,1
0.087139,1
0.087139,1
0.087139,1
0.087676,1
0.087676,1
0.087676,1
0.087676,1
0.087676,1
0.087676,1
0.087676,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.08829,1
0.088964,1
0.088964,1
0.088964,1
0.088964,1
0.088964,1
0.088964,1
0.089501,1
0.089501,1
0.089501,1
0.089501,1
0.089501,1
0.089501,1
0.090319,1
0.090319,1
0.090319,1
0.090319,1
0.090319,1
0.091021,1
0.091021,1
0.091021,1
0.091021,1
0.091021,1
0.091532,1
0.091532,1
0.091532,1
0.091532,1
0.092225,1
0.092225,1
0.092225,1
0.092225,1
0.092225,1
0.092225,1
0.092225,1
0.092761,1
0.092761,1
0.092761,1
0.092761,1
0.092761,1
0.093325,1
0.093325,1
0.093325,1
0.093325,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.093998,1
0.094939,1
0.094939,1
0.094939,1
0.094939,1
0.094939,1
0.095448,1
0.095448,1
0.095448,1
0.095448,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
0.09616,1
