frame,value
0,0.08945753
0,0.1755979
0,0.133623
0,0.0779451
0.001049,0.2972519
0.001049,0.06104003
0.001941,0.346809
0.001941,0.06482461
0.002981,0.166968
0.002981,0.1735202
0.002981,0.2038434
0.002981,0.04503725
0.004139,0.1401243
0.004139,0.168832
0.004139,0.04161859
0.004995,0.1521316
0.004995,0.1536511
0.004995,0.05215139
0.005843,0.1097613
0.005843,0.09177726
0.005843,0.144828
0.005843,0.03121364
0.006768,0.1336789
0.006768,0.1754326
0.006768,0.09746409
0.006768,0.04487832
0.007701,0.03850451
0.007701,0.1295772
0.007701,0.1046503
0.007701,0.07622677
0.007701,0.06642561
0.007701,0.0504915
0.008526,0.04348621
0.008526,0.1240464
0.008526,0.05630838
0.008526,0.02669636
0.008526,0.1583119
0.008526,0.01263108
0.009583,0.187163
0.009583,0.1190375
0.009583,0.02767958
0.010435,0.06654599
0.010435,0.1535548
0.010435,0.1230569
0.010435,0.04648687
0.011219,0.106754
0.011219,0.0665672
0.011219,0.1106009
0.011219,0.04876688
0.011219,0.04972724
0.012066,0.06251764
0.012066,0.03012696
0.012066,0.1780908
0.012066,0.02254693
0.012825,0.06592204
0.012825,0.04682636
0.012825,0.04228503
0.012825,0.09922738
0.012825,0.01678372
0.012825,0.06300143
0.012825,0.03308475
0.013702,0.08301835
0.013702,0.0450373
0.013702,0.04029965
0.013702,0.1066508
0.013702,0.09543232
0.013702,0.03771893
0.014569,0.06498531
0.014569,0.04167362
0.014569,0.06123301
0.014569,0.03855507
0.014569,0.07210944
0.014569,0.03538847
0.014569,0.04305144
0.015397,0.03783604
0.015397,0.1071016
0.015397,0.03466939
0.015397,0.09790128
0.015397,0.03345999
0.015397,0.1163225
0.015397,0.0330203
0.016272,0.06057789
0.016272,0.02707564
0.016272,0.09352783
0.016272,0.03259446
0.016272,0.06160846
0.016272,0.03031449
0.016272,0.04482335
0.017084,0.05185974
0.017084,0.03963523
0.017084,0.02940082
0.017084,0.02324271
0.017084,0.04343162
0.017084,0.01382843
0.017084,0.122246
0.017084,0.06054604
0.017939,0.02460038
0.017939,0.02342869
0.017939,0.02055599
0.017939,0.02951386
