frame,value
0,0.08350724
0,0.09588787
0,0.142713
0,0.05793558
0.002027,0.1819246
0.002027,0.2309559
0.002027,0.1392901
0.004624,0.2375469
0.004624,0.2315824
0.004624,0.1045389
0.007522,0.1121398
0.007522,0.08783251
0.007522,0.1297532
0.007522,0.07109717
0.009589,0.09067158
0.009589,0.1586543
0.009589,0.1045436
0.009589,0.05404262
0.011793,0.101832
0.011793,0.08477916
0.011793,0.1555771
0.011793,0.06069032
0.013603,0.05528401
0.013603,0.130733
0.013603,0.1420161
0.013603,0.1165485
0.013603,0.09107831
0.015796,0.03685665
0.015796,0.09883297
0.015796,0.1242483
0.015796,0.06118359
0.015796,0.1018328
0.017801,0.03595039
0.017801,0.107802
0.017801,0.1129369
0.017801,0.08622928
0.017801,0.06683697
0.019921,0.07961464
0.019921,0.07788941
0.019921,0.0306712
0.019921,0.1078201
0.019921,0.09321134
0.019921,0.03000103
0.022114,0.1177719
0.022114,0.06272891
0.022114,0.02684712
0.022114,0.1308709
0.022114,0.04921243
0.024191,0.020858
0.024191,0.09143155
0.024191,0.03963807
0.024191,0.03864739
0.024191,0.08857383
0.024191,0.01955267
0.025951,0.08024728
0.025951,0.02854004
0.025951,0.1655929
0.025951,0.07403461
0.025951,0.0238887
0.028022,0.1355547
0.028022,0.03277334
0.028022,0.1037539
0.028022,0.06305476
0.028022,0.05459297
0.029978,0.08098175
0.029978,0.1066151
0.029978,0.05260459
0.029978,0.06915636
0.029978,0.03527045
0.029978,0.05556899
0.031858,0.0366573
0.031858,0.05952211
0.031858,0.03565023
0.031858,0.09897706
0.031858,0.02652679
0.031858,0.1199551
0.031858,0.04471365
0.033815,0.05133735
0.033815,0.03622
0.033815,0.0554908
0.033815,0.03512677
0.033815,0.06876848
0.033815,0.03256793
0.033815,0.07906357
0.033815,0.02482601
0.035965,0.1181274
0.035965,0.02483402
0.035965,0.09797517
0.035965,0.02282618
0.035965,0.1396521
0.035965,0.01747775
0.038219,0.08735459
0.038219,0.0265457
0.038219,0.07624207
0.038219,0.02237367
0.038219,0.1347785
0.038219,0.01794178
0.040118,0.1243171
0.040118,0.01664767
0.040118,0.1233758
0.040118,0.01836364
0.040118,0.05967842
0.041931,0.02733086
0.041931,0.09474567
0.041931,0.01573092
0.041931,0.1580712
0.041931,0.01431809
0.043682,0.08668331
0.043682,0.01838307
0.043682,0.08266314
0.043682,0.01630348
0.043682,0.1029748
0.043682,0.01501228
0.045544,0.1028776
0.045544,0.01477453
0.045544,0.1098344
0.045544,0.02891926
0.045544,0.106189
0.045544,0.01275736
0.04742,0.1152824
0.04742,0.01652014
0.04742,0.05846312
0.04742,0.01870093
0.04742,0.1065263
0.04742,0.0168661
0.04742,0.08391234
0.049238,0.01460304
0.049238,0.06613761
0.049238,0.01780525
0.049238,0.07933472
0.049238,0.01450365
0.049238,0.0737657
0.049238,0.01667407
0.049238,0.06628621
0.051009,0.01676438
0.051009,0.06860693
0.051009,0.01693903
0.051009,0.09733734
0.051009,0.01431189
0.051009,0.06948569
0.051009,0.01916041
0.052792,0.09876218
0.052792,0.01504529
0.052792,0.07472812
0.052792,0.01978003
0.052792,0.09662063
0.052792,0.0166898
0.054572,0.09632296
0.054572,0.01615563
0.054572,0.1066808
0.054572,0.01658815
0.054572,0.08893508
0.054572,0.01727007
0.05659,0.06048394
0.05659,0.02212806
0.05659,0.07863589
0.05659,0.01770742
0.05659,0.1008415
0.05659,0.01832918
0.05659,0.1110928
0.05659,0.01683344
0.058772,0.08279031
0.058772,0.01852226
0.058772,0.1089883
0.058772,0.01676707
0.058772,0.1060946
0.058772,0.01856479
0.060615,0.07099023
0.060615,0.02007659
0.060615,0.1175704
0.060615,0.015703
0.060615,0.1006079
0.060615,0.01861986
0.062585,0.1068734
0.062585,0.01635889
0.062585,0.1357577
0.062585,0.01573897
0.062585,0.07027488
0.064354,0.02515436
0.064354,0.08667001
0.064354,0.01699138
0.064354,0.111486
0.064354,0.01956965
0.064354,0.1193371
0.064354,0.01534427
0.066512,0.1055621
0.066512,0.02074303
0.066512,0.0636071
0.066512,0.02279785
0.066512,0.08250734
0.066512,0.01625928
0.068337,0.07514499
0.068337,0.01908832
0.068337,0.05553263
0.068337,0.01586423
0.068337,0.08492972
0.068337,0.0178121
0.068337,0.1051423
0.068337,0.01153626
0.070183,0.1168814
0.070183,0.0195474
0.070183,0.09430154
0.070183,0.01055746
0.070183,0.1448566
0.070183,0.01238113
0.072079,0.05562844
0.072079,0.0153075
0.072079,0.1005643
0.072079,0.01017518
0.072079,0.04182914
0.072079,0.02802101
0.072079,0.09301722
0.072079,0.01026906
0.074183,0.1412738
0.074183,0.01216058
0.074183,0.03627474
0.074183,0.02642284
0.074183,0.06756577
0.074183,0.012586
0.075988,0.04991031
0.075988,0.01937515
0.075988,0.0636327
0.075988,0.01372271
0.075988,0.1023182
0.075988,0.01126002
0.075988,0.05667708
0.075988,0.02065753
0.077946,0.09527816
0.077946,0.01102742
0.077946,0.06019964
0.077946,0.02049455
0.077946,0.09706451
0.077946,0.01097428
0.079724,0.02751084
0.079724,0.0504973
0.079724,0.02189576
0.079724,0.09491
0.079724,0.03171124
0.079724,0.04960357
0.079724,0.02042218
0.079724,0.1073719
0.079724,0.009849591
0.081818,0.02169858
0.081818,0.08469743
0.081818,0.01789672
0.081818,0.1130544
0.081818,0.0194336
0.081818,0.05133524
0.081818,0.01547336
0.081818,0.0890895
0.08364,0.009074591
0.08364,0.0440244
0.08364,0.02289161
0.08364,0.07711895
0.08364,0.009264717
0.08364,0.05421088
0.08364,0.01606002
0.08364,0.06555234
0.08364,0.01038454
0.085488,0.05981901
0.085488,0.01231634
0.085488,0.07827477
0.085488,0.009824849
0.085488,0.04329767
0.085488,0.01786843
0.085488,0.08731715
0.085488,0.009851881
0.087311,0.06661887
0.087311,0.01200842
0.087311,0.0841123
0.087311,0.01018835
0.087311,0.03967689
0.087311,0.01984444
0.087311,0.09334035
0.087311,0.008936848
0.089317,0.07122089
0.089317,0.02252603
0.089317,0.09005287
0.089317,0.009673554
0.089317,0.04231621
0.089317,0.02398941
0.089317,0.08619303
0.089317,0.01054102
0.091337,0.03528653
0.091337,0.02706452
0.091337,0.04924582
0.091337,0.01369332
0.091337,0.04250332
0.091337,0.01649234
0.091337,0.09905145
0.091337,0.01244311
